COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Bahamas,BHS,AMRO,REPORTING,03-12-2021,280176,151709,71.247,38.579,138266,35.16,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",14-03-2021,4
Bahrain,BHR,EMRO,REPORTING,08-12-2021,3013291,1191497,177.088,70.023,1163885,68.4,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",04-11-2020,8
Bangladesh,BGD,SEARO,REPORTING,07-12-2021,105277826,65618894,63.925,39.844,39658932,24.081,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",27-01-2021,8
Barbados,BRB,AMRO,REPORTING,03-12-2021,290658,153670,101.142,53.474,136988,47.669,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",10-02-2021,4
Belarus,BLR,EURO,REPORTING,05-12-2021,6677937,3812391,70.7,40.346,2865546,30.325,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac",03-02-2021,2
Belgium,BEL,EURO,REPORTING,05-12-2021,19254472,8847306,167.1,76.783,8293216,75.597,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30-12-2020,4
Belize,BLZ,AMRO,REPORTING,03-12-2021,412002,228517,103.615,57.47,195230,49.099,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",01-03-2021,5
Benin,BEN,AFRO,REPORTING,09-12-2021,1144390,1087430,9.44,8.97,877113,7.235,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",29-03-2021,5
Bermuda,BMU,AMRO,REPORTING,03-12-2021,90750,45799,145.729,73.546,44951,72.184,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",11-01-2021,2
Bhutan,BTN,SEARO,REPORTING,05-12-2021,1154093,589482,149.57,76.397,564611,73.173,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",27-03-2021,5
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,03-12-2021,8758406,5149611,75.031,44.115,4219878,36.151,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",30-01-2021,5
Bonaire,XAA,AMRO,REPORTING,03-12-2021,32084,16995,153.402,81.257,15089,72.144,,,
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,09-04-2021,7391,5726,28.441,22.034,2965,11.41,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",22-02-2021,2
Bosnia and Herzegovina,BIH,EURO,REPORTING,04-11-2021,1553874,833233,47.4,25.397,720631,21.965,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4
Botswana,BWA,AFRO,REPORTING,02-12-2021,1061210,1061210,45.127,45.127,960331,40.837,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",26-03-2021,6
